step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
26500	-107.260698590423743	-109.451444049112055	2.190745458688310	0.203569846876246	0.203569846876246	1.000000000000000	0.987650265652363	0.000000000000000	16083	16088	16107	16112	16117	16124	16132	16135	16133	16138	16102	0	1	1	1	1	5	1	5	6	5	2	1	1	1	1	1	1	1	1	1	1	1
27000	-109.694051496930982	-111.920721136074775	2.226669639143787	0.200738202410571	0.200738202410571	1.000000000000000	0.991600424794883	0.000000000000000	16083	16088	16107	16111	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	2	1	4	7	6	6	1	1	1	1	1	1	1	1	1	1	1	1
27500	-113.823215748331762	-114.258202745067422	0.434986996735665	0.275057919894979	0.275057919894979	1.000000000000000	0.812604384674865	0.000000000000000	16083	16089	16103	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	4	1	6	3	1	9	1	1	1	1	1	1	1	1	1	1	1	1
28000	-110.879256025886519	-112.939698863469374	2.060442837582849	0.104368424523804	0.104368424523804	1.000000000000000	0.973454012093667	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	3	3	1	6	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1
28500	-110.878722836608020	-112.266206028291379	1.387483191683361	0.231768694223730	0.231768694223730	1.000000000000000	0.903320383909739	0.000000000000000	16083	16089	16107	16112	16117	16124	16131	16133	16131	16139	16102	0	1	2	1	4	4	6	9	6	6	1	1	1	1	1	1	1	1	1	1	1	1
29000	-103.945013127357683	-106.233770169950532	2.288757042592846	0.082555480465682	0.082555480465682	1.000000000000000	0.998464729690514	0.000000000000000	16083	16088	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	11	1	5	5	6	1	6	1	1	1	1	1	1	1	1	1	1	1	1
29500	-112.011504347269465	-113.949683138116583	1.938178790847123	0.070652061491777	0.070652061491777	1.000000000000000	0.960319162219790	0.000000000000000	16083	16089	16107	16112	16117	16123	16132	16135	16133	16139	16102	0	1	1	3	2	3	6	5	5	8	1	1	1	1	1	1	1	1	1	1	1	1
30000	-114.110974176485229	-115.948818587027617	1.837844410542381	0.206407024108946	0.206407024108946	1.000000000000000	0.949672725128745	0.000000000000000	16083	16088	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	4	5	5	4	3	6	1	1	1	1	1	1	1	1	1	2	1	1
30500	-113.589824248777873	-114.450746870780023	0.860922622002155	0.179610381734320	0.179610381734320	1.000000000000000	0.851986396355576	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	3	1	6	3	6	6	1	1	1	1	2	1	1	1	1	1	1	1
31000	-115.387404104114694	-116.710552909339512	1.323148805224817	0.125931245220294	0.125931245220294	1.000000000000000	0.896886234180930	0.000000000000000	16083	16089	16107	16112	16117	16124	16130	16135	16133	16139	16102	0	1	1	3	1	5	6	2	2	9	1	1	1	1	1	2	1	1	1	1	1	1
